img_list,label
2704.nii.gz,2
1559.nii.gz,2
1668.nii.gz,2
3424.nii.gz,1
1940.nii.gz,2
479.nii.gz,0
1754.nii.gz,2
5641.nii.gz,1
2168.nii.gz,2
1616.nii.gz,2
1648.nii.gz,2
2559.nii.gz,2
1055.nii.gz,0
3128.nii.gz,1
316.nii.gz,0
1706.nii.gz,2
1868.nii.gz,2
4041.nii.gz,1
5698.nii.gz,1
2230.nii.gz,2
2350.nii.gz,2
185.nii.gz,0
3474.nii.gz,1
699.nii.gz,0
3096.nii.gz,1
364.nii.gz,0
1630.nii.gz,2
2092.nii.gz,2
582.nii.gz,0
3817.nii.gz,1
3725.nii.gz,1
2202.nii.gz,2
298.nii.gz,0
1599.nii.gz,2
2030.nii.gz,2
4196.nii.gz,1
3707.nii.gz,1
2013.nii.gz,2
273.nii.gz,0
4294.nii.gz,1
4149.nii.gz,1
1122.nii.gz,0
5686.nii.gz,1
3409.nii.gz,1
2245.nii.gz,2
351.nii.gz,0
1330.nii.gz,2
2558.nii.gz,2
767.nii.gz,0
3111.nii.gz,1
3144.nii.gz,1
3248.nii.gz,1
3554.nii.gz,1
4353.nii.gz,1
5737.nii.gz,1
4189.nii.gz,1
401.nii.gz,0
1709.nii.gz,2
1105.nii.gz,0
3289.nii.gz,1
4032.nii.gz,1
2167.nii.gz,2
255.nii.gz,0
1339.nii.gz,2
954.nii.gz,0
2464.nii.gz,2
4057.nii.gz,1
3148.nii.gz,1
2984.nii.gz,1
700.nii.gz,0
5604.nii.gz,1
504.nii.gz,0
3112.nii.gz,1
428.nii.gz,0
1422.nii.gz,2
1631.nii.gz,2
3158.nii.gz,1
3867.nii.gz,1
3392.nii.gz,1
1508.nii.gz,2
3303.nii.gz,1
877.nii.gz,0
478.nii.gz,0
1323.nii.gz,2
2598.nii.gz,2
435.nii.gz,0
160.nii.gz,0
4026.nii.gz,1
2109.nii.gz,2
201.nii.gz,0
634.nii.gz,0
3250.nii.gz,1
1466.nii.gz,2
2130.nii.gz,2
118.nii.gz,0
418.nii.gz,0
111.nii.gz,0
2515.nii.gz,2
4134.nii.gz,1
3246.nii.gz,1
5371.nii.gz,0
3549.nii.gz,1
3857.nii.gz,1
233.nii.gz,0
1469.nii.gz,2
702.nii.gz,0
1517.nii.gz,2
3164.nii.gz,1
2207.nii.gz,2
2580.nii.gz,2
2440.nii.gz,2
3026.nii.gz,1
4138.nii.gz,1
